stt,code,group_no,group_name_vi,group_name_en,vietnamese_name,vietnamese_name_raw,english_name,refuse_percent,pdf_page,water_g,energy_kcal,energy_kj,protein_g,fat_g,carbohydrate_g,fiber_g,ash_g,sugar_g
1,99001,99,Sản phẩm thương mại,Commercial products,Cá basa (bạc),Cá basa (bạc),"Pangasius catfish (tra)",0.0,0,79.4,96,402,18.1,2.8,0.0,0.0,1.0,0.0
2,99002,99,Sản phẩm thương mại,Commercial products,Sữa Grandcare Gold 180ml,"Sữa Grandcare Gold 180ml","Grandcare Gold growing-up milk, 180ml",0.0,0,81.5,78,326,2.87,3.24,9.22,0.0,0.0,9.22
